Month,Year,City ,State/Country,Designation,Rating
June,2011,Atlanta, GA,Tourist,3
June,2014,Valdosta, GA,Tourist,5
June,2016,Acworth, GA,Tourist,2
June,2010,Munich, Germany,Tourist,3
June,2017,Council Bluffs, IA,Tourist,5
June,2009,Chicago, IL,Tourist,4
June,2009,Mount Prospect, IL,Tourist,4
June,2009,Chicago, IL,Tourist,4
June,2010,Chicago, IL,Tourist,1
June,2010,Chicago, IL,Tourist,4
June,2010,Bloomington, IL,Tourist,4
June,2013,Chicago, IL,Tourist,4
June,2013,Oswego, IL,Tourist,4
June,2015,Lockport, IL,Tourist,5
June,2013,Merrillville, IN,Tourist,4
June,2013,Topeka, KS,Tourist,4
June,2010,Baton Rouge, LA,Tourist,3
June,2016,Gretna, LA,Tourist,3
June,2014,Grafton, MA,Tourist,5
June,2014,Plainville, MA,Tourist,5
June,2017,Hopkinton, MA,Tourist,5
June,2012,Capitol Heights, MD,Tourist,5
June,2012,Upper Marlboro, MD,Tourist,4
June,2013,Oakland, MD,Tourist,4
June,2012,Wyandotte, MI,Tourist,3
June,2018,Chesterfield, MO,Tourist,1
June,2012,Asheville, NC,Tourist,5
June,2017,Charlotte, NC,Tourist,2
June,2018,Charlotte, NC,Tourist,5
June,2011,Cherry Hill, NJ,Tourist,3
June,2013,Newark, NJ,Tourist,5
June,2015,Vineland, NJ,Tourist,1
June,2014,Las Vegas, NV,Tourist,4
June,2010,Nesconset, NY,Tourist,5
June,2014,Saratoga Springs, NY,Tourist,4
June,2015,New York, NY,Tourist,4
June,2016,Massapequa, NY,Tourist,2
June,2016,Queens, NY,Tourist,3
June,2016,Buffalo, NY,Tourist,2
June,2018,New York, NY,Tourist,4
June,2013,Columbus, OH,Tourist,3
June,2015,Canal Fulton, OH,Tourist,1
June,2018,Cincinnati, OH,Tourist,3
June,2018,Pisgah, OH,Tourist,3
June,2018,Blue Ash, OH,Tourist,3
June,2012,Easton, PA,Tourist,2
June,2014,Butler, PA,Tourist,3
June,2015,Philadelphia, PA,Tourist,4
June,2015,State College, PA,Tourist,5
June,2016,Philadelphia, PA,Tourist,4
June,2017,Wind Gap, PA,Tourist,5
June,2007,West Warwick, RI,Tourist,1
June,2014,Charleston, SC,Tourist,4
June,2018,Columbia, SC,Tourist,4
June,2014,San Antonio, TX,Tourist,5
June,2017,Houston, TX,Tourist,4
June,2017,Spring, TX,Tourist,4
June,2018,Houston, TX,Tourist,4
June,2011,Alexandria, VA,Tourist,3
June,2011,Charlottesville, VA,Tourist,1
June,2014,Chesapeake, VA,Tourist,1
June,2015,Chesapeake, VA,Tourist,5
June,2014,Seattle, WA,Tourist,2
June,2016,Seattle, WA,Tourist,5
June,2008,Oconomowoc, WI,Tourist,4
June,2018,Elkhorn, WI,Tourist,3
June,2012,Ranson, WV,Tourist,4
May,2014,Birmingham, AL,Tourist,5
May,2015,Anniston, AL,Tourist,5
May,2009,Glendale, AZ,Tourist,4
May,2013,Scottsdale, AZ,Tourist,5
May,2005,San Francisco, CA,Tourist,5
May,2006,San Francisco, CA,Tourist,5
May,2006,San Francisco, CA,Tourist,5
May,2007,San Mateo, CA,Tourist,4
May,2007,San Francisco, CA,Tourist,3
May,2009,Irvine, CA,Tourist,3
May,2009,Sunnyvale, CA,Tourist,4
May,2009,Fairfield, CA,Tourist,4
May,2010,Colver City, CA,Tourist,2
May,2010,Alameda, CA,Tourist,4
May,2011,Buena Park, CA,Tourist,3
May,2011,Alameda, CA,Tourist,5
May,2013,Emeryville, CA,Tourist,1
May,2013,Escondido, CA,Tourist,5
May,2013,Studio City, CA,Tourist,3
May,2014,San Francisco, CA,Tourist,4
May,2015,Los Angeles, CA,Tourist,5
May,2010,Etobicoke, Canada,Tourist,3
May,2010,Washington, DC,Tourist,5
May,2010,Washington, DC,Tourist,5
May,2016,Washington, DC,Tourist,3
May,2011,Sarasota, FL,Tourist,3
May,2013,Orlando, FL,Tourist,4
May,2012,Watkinsville, GA,Tourist,5
May,2014,Atlanta, GA,Tourist,4
May,2017,Honolulu, HI,Tourist,4
May,2017,Rathdrum, ID,Tourist,4
May,2015,Chicago, IL,Tourist,5
May,2015,Tinley Park, IL,Tourist,3
May,2018,Savoy, IL,Tourist,3
May,2014,Indianapolis, IN,Tourist,3
May,2014,Indianapolis, IN,Tourist,2
May,2014,Chalmette, LA,Tourist,4
May,2006,Medford, MA,Tourist,5
May,2014,Kensington, MD,Tourist,1
May,2015,Glen Burnie, MD,Tourist,4
May,2017,Baltimore, MD,Tourist,3
May,2011,Benton Harbor, MI,Tourist,3
May,2011,Auburn Hills, MI,Tourist,3
May,2014,Sterling Heights, MI,Tourist,3
May,2016,Detroit, MI,Tourist,4
May,2017,Bay City, MI,Tourist,5
May,2017,Minneapolis, MN,Tourist,4
May,2013,Northvale, NJ,Tourist,3
May,2016,Haddon Heights, NJ,Tourist,4
May,2017,Bedminster Township, NJ,Tourist,5
May,2016,Las Vegas, NV,Tourist,4
May,2010,Brooklyn, NY,Tourist,3
May,2010,Binghamton, NY,Tourist,2
May,2011,Brooklyn, NY,Tourist,4
May,2015,Rochester, NY,Tourist,5
May,2009,Hudson, OH,Tourist,3
May,2012,Columbus, OH,Tourist,4
May,2013,Cincinnati, OH,Tourist,3
May,2013,Reynoldsburg, OH,Tourist,1
May,2015,South Euclid, OH,Tourist,4
May,2015,Durant, OK,Tourist,5
May,2012,Philadelphia, PA,Tourist,5
May,2016,Zionsville, PA,Tourist,1
May,2017,Canonsburg, PA,Tourist,5
May,2017,Phoenixville, PA,Tourist,4
May,2018,New Hope, PA,Tourist,4
May,2018,Doylestown, PA,Tourist,2
May,2017,Chattanooga, TN,Tourist,3
May,2011,Fort Worth, TX,Tourist,4
May,2012,Houston, TX,Tourist,2
May,2013,Manvel, TX,Tourist,5
May,2015,Spicewood, TX,Tourist,5
May,2012,London, United Kingdom,Tourist,5
May,2017,Sandy, UT,Tourist,5
May,2015,Springfield, VA,Tourist,5
May,2010,Olympia, WA,Tourist,5
May,2017,Bellevue, WA,Tourist,4
May,2015,White Oak, WV,Tourist,2
November,2010,Scottsdale, AZ,Tourist,2
November,2012,Scottsdale, AZ,Tourist,5
November,2006,Stockton, CA,Tourist,4
November,2008,Anaheim, CA,Tourist,4
November,2009,Redwood City, CA,Tourist,4
November,2010,Los Altos, CA,Tourist,5
November,2011,Campbell, CA,Tourist,5
November,2012,Los Angeles, CA,Tourist,4
November,2014,San Diego, CA,Tourist,4
November,2015,San Francisco, CA,Tourist,2
November,2016,Los Angeles, CA,Tourist,5
November,2016,San Francisco, CA,Tourist,5
November,2016,Temecula, CA,Tourist,1
November,2017,Palm Desert, CA,Tourist,5
November,2017,Santa Clara, CA,Tourist,5
November,2017,San Diego, CA,Tourist,3
November,2013,Denver, CO,Tourist,4
November,2015,Deep River, CT,Tourist,4
November,2017,Hartford, CT,Tourist,4
November,2016,Dover, DE,Tourist,4
November,2013,Daytona Beach, FL,Tourist,5
November,2015,Orlando, FL,Tourist,5
November,2015,Miami, FL,Tourist,5
November,2015,Paris, France,Tourist,3
November,2015,Douglasville, GA,Tourist,5
November,2012,Honolulu, HI,Tourist,4
November,2016,Honolulu, HI,Tourist,5
November,2013,Oak Brook, IL,Tourist,2
November,2017,Carmel, IN,Tourist,5
November,2012,New Orleans, LA,Tourist,1
November,2014,Havre de Grace, MD,Tourist,4
November,2014,Rockville, MD,Tourist,5
November,2016,Beltsville, MD,Tourist,1
November,2009,Southfield, MI,Tourist,5
November,2012,Traverse City, MI,Tourist,4
November,2014,Coldwater, MI,Tourist,4
November,2010,Hackensack, NJ,Tourist,2
November,2013,Glen Rock, NJ,Tourist,3
November,2013,Stone Harbor, NJ,Tourist,5
November,2015,Bellmawr, NJ,Tourist,4
November,2011,Las Vegas, NV,Tourist,5
November,2010,Brooklyn, NY,Tourist,2
November,2012,Buffalo, NY,Tourist,4
November,2012,Bayside, NY,Tourist,3
November,2013,Hector, NY,Tourist,2
November,2013,Rochester, NY,Tourist,4
November,2014,Earlton, NY,Tourist,1
November,2014,New York, NY,Tourist,4
November,2016, Staten Island, NY,Tourist,4
November,2011,Loveland-Madeira Corridor, OH,Tourist,5
November,2017,Pickerington, OH,Tourist,5
November,2011,Hershey, PA,Tourist,5
November,2012,Philadelphia, PA,Tourist,3
November,2013,Perkasie, PA,Tourist,5
November,2016,Reading, PA,Tourist,5
November,2017,Butler, PA,Tourist,5
November,2017,Nashville, TN,Tourist,5
November,2010,Fort Worth, TX,Tourist,5
November,2012,San Antonio, TX,Tourist,5
November,2013,Henrico, VA,Tourist,4
November,2006,Seattle, WA,Tourist,5
October,2012,Sydney, Australia,Tourist,4
October,2012,Tempe, AZ,Tourist,5
October,2015,Gilbert, AZ,Tourist,5
October,2016,Phoenix, AZ,Tourist,5
October,2006,Santa Monica, CA,Tourist,4
October,2009,Redondo Beach, CA,Tourist,2
October,2009,San Marcos, CA,Tourist,2
October,2010,Los Angeles, CA,Tourist,4
October,2015,San Jose, CA,Tourist,5
October,2016,Rancho Cucamonga, CA,Tourist,5
October,2017,Woodlake, CA,Tourist,5
October,2017,Placentia, CA,Tourist,5
October,2011,Bailey, CO,Tourist,4
October,2008,Washington, DC,Tourist,3
October,2014,Washington, DC,Tourist,4
October,2017,Washington, DC,Tourist,5
October,2009,Middelfart, Denmark,Tourist,2
October,2014,Winter Garden, FL,Tourist,5
October,2016,Fort Lauderdale, FL,Tourist,4
October,2009,Chicago, IL,Tourist,4
October,2010,Chicago, IL,Tourist,5
October,2010,Chicago, IL,Tourist,4
October,2011,Chicago, IL,Tourist,4
October,2014,Saint Jacob, IL,Tourist,5
October,2016,Chicago, IL,Tourist,2
October,2006,Boston, MA,Tourist,3
October,2012,Westminster, MD,Tourist,1
October,2009,Saint Paul, MN,Tourist,5
October,2010,Saint Louis, MO,Tourist,4
October,2012,Jackson, MS,Tourist,4
October,2013,Jersey City, NJ,Tourist,2
October,2013,Dumont, NJ,Tourist,2
October,2015,Columbus, NJ,Tourist,5
October,2017,Essex County, NJ,Tourist,3
October,2007,New York, NY,Tourist,3
October,2009,New York, NY,Tourist,4
October,2010,Buffalo, NY,Tourist,3
October,2011,Manhattan, NY,Tourist,3
October,2011,Brooklyn, NY,Tourist,3
October,2012,Troy, NY,Tourist,3
October,2015,New York, NY,Tourist,2
October,2013,Springboro, OH,Tourist,2
October,2014,Columbus, OH,Tourist,5
October,2017,Cleveland, OH,Tourist,5
October,2009,Harrisburg, PA,Tourist,5
October,2011,Philadelphia, PA,Tourist,5
October,2013,Harrisburg, PA,Tourist,5
October,2016,Bethlehem, PA,Tourist,3
October,2016,Reading, PA,Tourist,1
October,2016,Philadelphia, PA,Tourist,2
October,2017,Lancaster, PA,Tourist,2
October,2017,Philadelphia, PA,Tourist,5
October,2011,Austin, TX,Tourist,5
October,2012,Allen, TX,Tourist,2
October,2014,Boerne, TX,Tourist,3
October,2014,Fisco, TX,Tourist,3
October,2017,San Antonio, TX,Tourist,5
October,2007,Burke, VA,Tourist,4
October,2010,Virginia Beach, VA,Tourist,5
October,2012,Waynesboro, VA,Tourist,1
October,2013,Norfolk, VA,Tourist,4
October,2014,Arlington, VA,Tourist,5
October,2015,Arlington, VA,Tourist,3
October,2016,Puyallup, WA,Tourist,5
